epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1365.9,1.27214,1.44385,0,0.2914,0.32875,0.18028,0.04117,1.1537,0.90043,0,0.0683579,0.00166537,0.00166537
2,2720,1.26348,1.4269,0,0.28315,0.33711,0.18449,0.04222,1.14786,0.91703,0,0.0366659,0.00330667,0.00330667
3,4072.32,1.28647,1.46526,0,0.26642,0.32556,0.17847,0.04134,1.16092,0.92753,0,0.00494843,0.00492257,0.00492257
4,5421.03,1.29826,1.48207,0,0.27528,0.3457,0.18914,0.04342,1.17499,0.94957,0,0.00488577,0.00488577,0.00488577
5,6771.09,1.283,1.45597,0,0.27716,0.34332,0.18116,0.04192,1.14904,0.9041,0,0.00484769,0.00484769,0.00484769
6,8119.62,1.26737,1.41124,0,0.2817,0.33185,0.19546,0.04622,1.13782,0.89145,0,0.00480962,0.00480962,0.00480962
7,9469.91,1.26065,1.39937,0,0.26906,0.32716,0.1829,0.042,1.12091,0.88425,0,0.00477154,0.00477154,0.00477154
8,10820.2,1.25432,1.38811,0,0.27855,0.34226,0.1792,0.04074,1.12187,0.85958,0,0.00473346,0.00473346,0.00473346
9,12170.2,1.24244,1.35792,0,0.26753,0.3577,0.17699,0.04038,1.10497,0.82094,0,0.00469538,0.00469538,0.00469538
10,13519.8,1.23447,1.34244,0,0.28392,0.35563,0.19764,0.04638,1.10481,0.81494,0,0.00465731,0.00465731,0.00465731
11,14869.1,1.24539,1.35877,0,0.27133,0.33688,0.18414,0.04271,1.07338,0.78409,0,0.00461923,0.00461923,0.00461923
